"skill_name","average_pay","job_count"
"kafka","129999","40"
"pytorch","125226","20"
"perl","124686","20"
"tensorflow","120647","24"
"cassandra","118407","11"
"atlassian","117966","15"
"airflow","116387","71"
"scala","115480","59"
"linux","114883","58"
"confluence","114153","62"
"pyspark","114058","49"
"mongodb","113608","52"
"gcp","113065","78"
"spark","113002","187"
"splunk","112928","15"
"databricks","112881","102"
"git","112250","74"
"snowflake","111578","241"
"shell","111496","44"
"unix","111123","37"
"hadoop","110888","140"
"pandas","110767","90"
"phoenix","109259","23"
"php","109052","29"
"neo4j","108646","12"
